Code,Character,Description
0,NUL,Null character
1,SOH,Start of Header
2,STX,Start of Text
3,ETX,End of Text
4,EOT,End of Transmission
5,ENQ,Enquiry
6,ACK,Acknowledgment
7,BEL,Bell
8,BS,Backspace
9,TAB,Horizontal Tab
10,LF,Line Feed
11,VT,Vertical Tab
12,FF,Form Feed
13,CR,Carriage Return
14,SO,Shift Out
15,SI,Shift In
16,DLE,Data Link Escape
17,DC1,Device Control 1 (XON)
18,DC2,Device Control 2
19,DC3,Device Control 3 (XOFF)
20,DC4,Device Control 4
21,NAK,Negative Acknowledgment
22,SYN,Synchronous Idle
23,ETB,End of Trans. Block
24,CAN,Cancel
25,EM,End of Medium
26,SUB,Substitute
27,ESC,Escape
28,FS,File Separator
29,GS,Group Separator
30,RS,Record Separator
31,US,Unit Separator
32,Space,Space
33,!,Exclamation mark
34,"""",Double quotes
35,#,Number
36,$,Dollar
37,%,Percent
38,&,Ampersand
39,',Single quote
40,(,Open parenthesis
41,),Close parenthesis
42,*,Asterisk
43,+,Plus
44,",",Comma
45,-,Minus
46,.,Period
47,/,Slash
48,0,Digit 0
49,1,Digit 1
50,2,Digit 2
51,3,Digit 3
52,4,Digit 4
53,5,Digit 5
54,6,Digit 6
55,7,Digit 7
56,8,Digit 8
57,9,Digit 9
58,:,Colon
59,;,Semicolon
60,<,Less than
61,=,Equal
62,>,Greater than
63,?,Question mark
64,@,At sign
65,A,Uppercase A
66,B,Uppercase B
67,C,Uppercase C
68,D,Uppercase D
69,E,Uppercase E
70,F,Uppercase F
71,G,Uppercase G
72,H,Uppercase H
73,I,Uppercase I
74,J,Uppercase J
75,K,Uppercase K
76,L,Uppercase L
77,M,Uppercase M
78,N,Uppercase N
79,O,Uppercase O
80,P,Uppercase P
81,Q,Uppercase Q
82,R,Uppercase R
83,S,Uppercase S
84,T,Uppercase T
85,U,Uppercase U
86,V,Uppercase V
87,W,Uppercase W
88,X,Uppercase X
89,Y,Uppercase Y
90,Z,Uppercase Z
91,[,Opening bracket
92,\,Backslash
93,],Closing bracket
94,^,Caret
95,_,Underscore
96,`,Grave accent
97,a,Lowercase a
98,b,Lowercase b
99,c,Lowercase c
100,d,Lowercase d
101,e,Lowercase e
102,f,Lowercase f
103,g,Lowercase g
